1000
399	9
399	7
399	7
398	5
398	3
398	2
398	3
397	4
396	4
396	7
396	2
396	8
396	4
396	6
395	8
395	3
395	6
394	9
394	8
394	7
394	3
394	9
393	5
393	6
393	7
393	2
393	4
393	9
393	6
392	8
392	8
392	6
391	6
389	5
389	9
389	2
388	9
388	3
387	9
387	2
387	3
387	9
387	4
386	6
386	4
386	4
386	4
386	3
386	9
386	9
385	3
385	9
384	4
384	7
384	7
384	6
384	8
383	8
383	7
383	4
383	6
382	6
382	8
382	5
382	3
382	9
381	9
381	7
380	6
380	2
380	5
380	3
380	2
380	5
380	5
380	9
380	7
380	7
379	2
379	3
379	2
379	5
379	6
375	5
375	7
375	2
375	7
374	4
374	6
373	8
373	9
372	5
372	6
372	8
372	7
372	7
372	8
372	7
371	3
371	2
371	7
371	3
370	3
369	5
369	8
369	9
369	7
369	5
368	5
368	9
368	5
368	7
368	2
368	5
368	9
368	3
367	4
367	7
367	3
365	7
365	8
365	6
365	5
364	4
363	2
363	4
363	9
362	4
362	2
362	9
362	4
361	6
361	3
361	3
361	5
360	3
360	6
360	9
360	4
359	7
358	5
358	4
358	5
357	2
356	7
356	2
356	5
356	2
355	9
355	3
355	2
355	3
354	6
354	6
354	6
354	2
353	6
353	9
353	9
353	4
352	6
352	6
350	2
350	8
349	2
349	8
349	2
348	8
348	6
348	3
348	7
347	9
347	7
346	4
346	4
346	4
345	7
345	6
345	3
345	8
345	8
344	9
344	2
343	7
343	2
343	3
342	5
341	3
341	8
341	2
340	6
340	4
338	8
338	9
338	5
338	6
338	8
338	3
338	8
337	7
337	4
337	8
337	6
337	4
337	5
337	7
336	8
336	2
335	9
335	4
335	5
334	9
333	8
333	4
332	9
332	9
330	4
330	4
329	4
329	3
329	7
329	3
329	2
329	3
329	2
329	6
328	8
328	2
328	6
328	3
328	3
327	7
327	6
327	2
327	4
327	8
326	9
326	2
326	7
326	4
326	6
326	6
325	8
325	5
325	2
325	8
324	5
324	6
324	7
324	4
323	8
322	6
322	6
320	5
320	5
320	5
319	5
319	7
